Sr.NO,NAV_Date,DAY_DELTA,NAV_Value,,,,,,,,,,,
829,2018-07-09,1226,70.1886,,,,,,,,,,,
830,2018-07-10,1227,70.7975,,,,,,,,,,,
831,2018-07-11,1228,70.813,,,,,,,,,,,
832,2018-07-12,1229,71.3073,,,,,,,,,,,
833,2018-07-13,1230,71.2772,,,,,,,,,,,
834,2018-07-16,1233,70.7513,,,,,,,,,,,
835,2018-07-17,1234,71.2166,,,,,,,,,,,
836,2018-07-18,1235,71.0442,,,,,,,,,,,
837,2018-07-19,1236,70.9567,,,,,,,,,,,
838,2018-07-20,1237,71.2984,,,,,,,,,,,
839,2018-07-23,1240,71.7796,,,,,,,,,,,
840,2018-07-24,1241,72.0976,,,,,,,,,,,
841,2018-07-25,1242,72.0806,,,,,,,,,,,
842,2018-07-26,1243,72.3232,,,,,,,,,,,
843,2018-07-27,1244,73.036,,,,,,,,,,,
844,2018-07-30,1247,73.3026,,,,,,,,,,,
845,2018-07-31,1248,73.5406,,,,,,,,,,,
846,2018-08-01,1249,73.4739,,,,,,,,,,,
847,2018-08-02,1250,72.8289,,,,,,,,,,,
848,2018-08-03,1251,73.5758,,,,,,,,,,,
849,2018-08-06,1254,73.7444,,,,,,,,,,,
850,2018-08-07,1255,73.7591,,,,,,,,,,,
851,2018-08-08,1256,74.1489,,,,,,,,,,,
852,2018-08-09,1257,74.2872,,,,,,,,,,,
853,2018-08-10,1258,74.0209,,,,,,,,,,,
854,2018-08-13,1261,73.5524,,,,,,,,,,,
855,2018-08-14,1262,74.1134,,,,,,,,,,,
856,2018-08-16,1264,73.7898,,,,,,,,,,,
857,2018-08-17,1265,74.3425,,,,,,,,,,,
858,2018-08-20,1268,74.8692,,,,,,,,,,,
859,2018-08-21,1269,74.9901,,,,,,,,,,,
860,2018-08-23,1271,75.0647,,,,,,,,,,,
861,2018-08-24,1272,74.9133,,,,,,,,,,,
862,2018-08-27,1275,75.7822,,,,,,,,,,,
863,2018-08-28,1276,76.0824,,,,,,,,,,,
864,2018-08-29,1277,75.7798,,,,,,,,,,,
865,2018-08-30,1278,75.684,,,,,,,,,,,
866,2018-08-31,1279,75.7205,,,,,,,,,,,
867,2018-09-03,1282,75.0844,,,,,,,,,,,
868,2018-09-04,1283,74.6835,,,,,,,,,,,
869,2018-09-05,1284,74.4023,,,,,,,,,,,
870,2018-09-06,1285,74.8015,,,,,,,,,,,
871,2018-09-07,1286,75.1378,,,,,,,,,,,
872,2018-09-10,1289,74.171,,,,,,,,,,,
873,2018-09-11,1290,73.1978,,,,,,,,,,,
874,2018-09-12,1291,73.7321,,,,,,,,,,,
875,2018-09-14,1293,74.67,,,,,,,,,,,
876,2018-09-17,1296,73.7837,,,,,,,,,,,
877,2018-09-18,1297,73.1443,,,,,,,,,,,
878,2018-09-19,1298,72.8608,,,,,,,,,,,
879,2018-09-21,1300,72.2702,,,,,,,,,,,
880,2018-09-24,1303,71.1302,,,,,,,,,,,
881,2018-09-25,1304,71.7767,,,,,,,,,,,
882,2018-09-26,1305,71.6878,,,,,,,,,,,
883,2018-09-27,1306,71.1953,,,,,,,,,,,
884,2018-09-28,1307,70.8918,,,,,,,,,,,
885,2018-10-01,1310,71.3978,,,,,,,,,,,
886,2018-10-03,1312,70.4289,,,,,,,,,,,
887,2018-10-04,1313,68.7517,,,,,,,,,,,
888,2018-10-05,1314,66.925,,,,,,,,,,,
889,2018-10-08,1317,67.1277,,,,,,,,,,,
890,2018-10-09,1318,66.8236,,,,,,,,,,,
891,2018-10-10,1319,67.8496,,,,,,,,,,,
892,2018-10-11,1320,66.3929,,,,,,,,,,,
893,2018-10-12,1321,67.9216,,,,,,,,,,,
894,2018-10-15,1324,68.1788,,,,,,,,,,,
895,2018-10-16,1325,68.6446,,,,,,,,,,,
896,2018-10-17,1326,67.7931,,,,,,,,,,,
897,2018-10-19,1328,66.8252,,,,,,,,,,,
898,2018-10-22,1331,66.4449,,,,,,,,,,,
899,2018-10-23,1332,65.8144,,,,,,,,,,,
900,2018-10-24,1333,66.3168,,,,,,,,,,,
901,2018-10-25,1334,65.7304,,,,,,,,,,,
902,2018-10-26,1335,65.1167,,,,,,,,,,,
903,2018-10-29,1338,66.5515,,,,,,,,,,,
904,2018-10-30,1339,66.2132,,,,,,,,,,,
905,2018-10-31,1340,67.4308,,,,,,,,,,,
906,2018-11-01,1341,67.3998,,,,,,,,,,,
907,2018-11-02,1342,68.5165,,,,,,,,,,,
908,2018-11-05,1345,68.3332,,,,,,,,,,,
909,2018-11-06,1346,68.3714,,,,,,,,,,,
910,2018-11-09,1349,68.727,,,,,,,,,,,
911,2018-11-12,1352,68.0605,,,,,,,,,,,
912,2018-11-13,1353,68.7099,,,,,,,,,,,
913,2018-11-14,1354,68.6696,,,,,,,,,,,
914,2018-11-15,1355,68.9308,,,,,,,,,,,
915,2018-11-16,1356,69.3544,,,,,,,,,,,
916,2018-11-19,1359,69.8787,,,,,,,,,,,
917,2018-11-20,1360,69.1838,,,,,,,,,,,
918,2018-11-21,1361,68.82,,,,,,,,,,,
919,2018-11-22,1362,68.345,,,,,,,,,,,
920,2018-11-26,1366,69.004,,,,,,,,,,,
921,2018-11-27,1367,69.3728,,,,,,,,,,,
922,2018-11-28,1368,69.6529,,,,,,,,,,,
923,2018-11-29,1369,70.4939,,,,,,,,,,,
924,2018-11-30,1370,70.6104,,,,,,,,,,,
925,2018-12-03,1373,70.6548,,,,,,,,,,,
926,2018-12-04,1374,70.562,,,,,,,,,,,
927,2018-12-05,1375,69.9996,,,,,,,,,,,
928,2018-12-06,1376,68.8208,,,,,,,,,,,
929,2018-12-07,1377,69.4192,,,,,,,,,,,
930,2018-12-10,1380,68.0885,,,,,,,,,,,
931,2018-12-11,1381,68.4799,,,,,,,,,,,
932,2018-12-12,1382,69.6955,,,,,,,,,,,
933,2018-12-13,1383,70.0439,,,,,,,,,,,
934,2018-12-14,1384,70.1333,,,,,,,,,,,
935,2018-12-17,1387,70.669,,,,,,,,,,,
936,2018-12-18,1388,70.8004,,,,,,,,,,,
937,2018-12-19,1389,71.1799,,,,,,,,,,,
938,2018-12-20,1390,71.0779,,,,,,,,,,,
939,2018-12-21,1391,69.8188,,,,,,,,,,,
940,2018-12-24,1394,69.2312,,,,,,,,,,,
941,2018-12-26,1396,69.6603,,,,,,,,,,,
942,2018-12-27,1397,69.9828,,,,,,,,,,,
943,2018-12-28,1398,70.5209,,,,,,,,,,,
944,2018-12-31,1401,70.5364,,,,,,,,,,,
945,2019-01-01,1402,70.8446,,,,,,,,,,,
946,2019-01-02,1403,70.0821,,,,,,,,,,,
947,2019-01-03,1404,69.3025,,,,,,,,,,,
948,2019-01-04,1405,69.6591,,,,,,,,,,,
949,2019-01-07,1408,69.9502,,,,,,,,,,,
950,2019-01-08,1409,70.1422,,,,,,,,,,,
951,2019-01-09,1410,70.4843,,,,,,,,,,,
952,2019-01-10,1411,70.2664,,,,,,,,,,,
953,2019-01-11,1412,70.0932,,,,,,,,,,,
954,2019-01-14,1415,69.7207,,,,,,,,,,,
955,2019-01-15,1416,70.6867,,,,,,,,,,,
956,2019-01-16,1417,70.7089,,,,,,,,,,,
957,2019-01-17,1418,70.8121,,,,,,,,,,,
958,2019-01-18,1419,70.823,,,,,,,,,,,
959,2019-01-21,1422,71.178,,,,,,,,,,,
960,2019-01-22,1423,70.9241,,,,,,,,,,,
961,2019-01-23,1424,70.3322,,,,,,,,,,,
962,2019-01-24,1425,70.4751,,,,,,,,,,,
963,2019-01-25,1426,70.0257,,,,,,,,,,,
964,2019-01-28,1429,69.2531,,,,,,,,,,,
965,2019-01-29,1430,69.1943,,,,,,,,,,,
966,2019-01-30,1431,69.1913,,,,,,,,,,,
967,2019-01-31,1432,70.3527,,,,,,,,,,,
968,2019-02-01,1433,70.7587,,,,,,,,,,,
969,2019-02-04,1436,70.8784,,,,,,,,,,,
970,2019-02-05,1437,71.0223,,,,,,,,,,,
971,2019-02-06,1438,71.8715,,,,,,,,,,,
972,2019-02-07,1439,71.9161,,,,,,,,,,,
973,2019-02-08,1440,71.1002,,,,,,,,,,,
974,2019-02-11,1443,70.76,,,,,,,,,,,
975,2019-02-12,1444,70.3965,,,,,,,,,,,
976,2019-02-13,1445,70.151,,,,,,,,,,,
977,2019-02-14,1446,69.8494,,,,,,,,,,,
978,2019-02-15,1447,69.7082,,,,,,,,,,,
979,2019-02-18,1450,69.1646,,,,,,,,,,,
980,2019-02-19,1451,68.9266,,,,,,,,,,,
981,2019-02-20,1452,69.7791,,,,,,,,,,,
