Date,Open,High,Low,Close,
10-Oct-17,10013.7,10034,10002.3,10016.95,0.316927107
11-Oct-17,10042.6,10067.25,9955.8,9984.8,1.11944796
12-Oct-17,10011.2,10104.45,9977.1,10096.4,1.276423009
13-Oct-17,10123.7,10191.9,10120.1,10167.45,0.709479155
16-Oct-17,10207.4,10242.95,10175.1,10230.85,0.666823913
17-Oct-17,10227.65,10251.85,10212.6,10234.45,0.384329162
18-Oct-17,10209.4,10236.45,10175.75,10210.85,0.596516227
19-Oct-17,10210.35,10211.95,10123.35,10146.55,0.875204354
23-Oct-17,10176.65,10224.15,10124.5,10184.85,0.984246136
24-Oct-17,10218.55,10237.75,10182.4,10207.7,0.543585009
25-Oct-17,10321.15,10340.55,10240.9,10295.35,0.973059008
26-Oct-17,10291.8,10355.65,10271.85,10343.8,0.815821882
27-Oct-17,10362.3,10366.15,10311.3,10323.05,0.531940686
30-Oct-17,10353.85,10384.5,10344.3,10363.65,0.38861982
31-Oct-17,10364.9,10367.7,10323.95,10335.3,0.423771909
01-Nov-17,10390.35,10451.65,10383.05,10440.5,0.660692186
02-Nov-17,10440.5,10453,10412.55,10423.8,0.388473525
03-Nov-17,10461.55,10461.7,10403.6,10452.5,0.558460533
06-Nov-17,10431.75,10490.45,10413.75,10451.8,0.736526227
07-Nov-17,10477.15,10485.75,10340.8,10350.15,1.401729073
08-Nov-17,10361.95,10384.25,10285.5,10303.15,0.960089446
09-Nov-17,10358.65,10368.45,10266.95,10308.95,0.988609081
10-Nov-17,10304.35,10344.95,10254.1,10321.75,0.885987069
13-Nov-17,10322,10334.15,10216.25,10224.95,1.154043803
14-Nov-17,10223.4,10248,10175.55,10186.6,0.712000826
15-Nov-17,10171.95,10175.45,10094,10118.05,0.806914999
16-Nov-17,10152.9,10232.25,10139.2,10214.75,0.917725264
17-Nov-17,10324.55,10343.6,10268.05,10283.6,0.735777485
20-Nov-17,10287.2,10309.85,10261.5,10298.75,0.471178678
21-Nov-17,10329.25,10358.7,10315.05,10326.9,0.423168089
22-Nov-17,10350.8,10368.7,10309.55,10342.3,0.573739882
23-Nov-17,10358.45,10374.3,10307.3,10348.75,0.65002474
24-Nov-17,10366.8,10404.5,10362.25,10389.7,0.407729981
27-Nov-17,10361.05,10407.15,10340.2,10399.55,0.64747297
28-Nov-17,10387.9,10409.55,10355.2,10370.25,0.524857077
29-Nov-17,10376.65,10392.95,10345.9,10361.3,0.454769522
30-Nov-17,10332.7,10332.7,10211.25,10226.55,1.189374464
01-Dec-17,10263.7,10272.7,10108.55,10121.8,1.62387286
04-Dec-17,10175.05,10179.2,10095.7,10127.75,0.827084798
05-Dec-17,10118.25,10147.95,10069.1,10118.25,0.783088856
06-Dec-17,10088.8,10104.2,10033.35,10044.1,0.706145006
07-Dec-17,10063.45,10182.65,10061.9,10166.7,1.200071557
08-Dec-17,10198.45,10270.85,10195.25,10265.65,0.741521787
11-Dec-17,10310.5,10329.2,10282.05,10322.25,0.458566142
12-Dec-17,10324.9,10326.1,10230.2,10240.15,0.937420578
13-Dec-17,10236.6,10296.55,10169.85,10192.95,1.245839417
14-Dec-17,10229.3,10276.1,10141.55,10252.1,1.326720275
15-Dec-17,10345.65,10373.1,10319.65,10333.25,0.517943923
18-Dec-17,10263.1,10443.55,10074.8,10388.75,3.660122285
19-Dec-17,10414.8,10472.2,10406,10463.2,0.63617144
20-Dec-17,10494.4,10494.45,10437.15,10444.2,0.549000446
21-Dec-17,10473.95,10473.95,10426.9,10440.3,0.451236705
22-Dec-17,10457.3,10501.1,10448.25,10493,0.505826335
26-Dec-17,10512.3,10545.45,10477.95,10531.5,0.644209984
27-Dec-17,10531.05,10552.4,10469.25,10490.75,0.794230723
28-Dec-17,10498.2,10534.55,10460.45,10477.9,0.708382527
29-Dec-17,10492.35,10538.7,10488.65,10530.7,0.477182478
01-Jan-18,10531.7,10537.85,10423.1,10435.55,1.100920072
02-Jan-18,10477.55,10495.2,10404.65,10442.2,0.87028396
03-Jan-18,10482.65,10503.6,10429.55,10443.2,0.71000187
04-Jan-18,10469.4,10513,10441.45,10504.8,0.685249654
05-Jan-18,10534.25,10566.1,10520.1,10558.85,0.437258201
08-Jan-18,10591.7,10631.2,10588.55,10623.6,0.402793584
09-Jan-18,10645.1,10659.15,10603.6,10637,0.523878683
10-Jan-18,10652.05,10655.5,10592.7,10632.2,0.592861121
11-Jan-18,10637.05,10664.6,10612.35,10651.2,0.492350893
12-Jan-18,10682.55,10690.4,10597.1,10681.25,0.880429551
15-Jan-18,10718.5,10782.65,10713.8,10741.55,0.642629133
16-Jan-18,10761.5,10762.35,10687.85,10700.45,0.697053196
17-Jan-18,10702.45,10803,10666.75,10788.55,1.277333771
18-Jan-18,10873.4,10887.5,10782.4,10817,0.974736608
19-Jan-18,10829.2,10906.85,10793.9,10894.7,1.046424369
22-Jan-18,10883.2,10975.1,10881.4,10966.2,0.861102432
23-Jan-18,10997.4,11092.9,10994.55,11083.7,0.89453411
24-Jan-18,11069.35,11110.1,11046.15,11086,0.578934742
25-Jan-18,11095.6,11095.6,11009.2,11069.65,0.784798169
29-Jan-18,11079.35,11171.55,11075.95,11130.4,0.863131379
30-Jan-18,11120.85,11121.1,11033.9,11049.65,0.790291737
31-Jan-18,11018.8,11058.5,10979.3,11027.7,0.721357464
01-Feb-18,11044.55,11117.35,10878.8,11016.9,2.192797
02-Feb-18,10938.2,10954.95,10736.1,10760.6,2.038449716
05-Feb-18,10604.3,10702.75,10586.8,10666.55,1.095231798
06-Feb-18,10295.15,10594.15,10276.3,10498.25,3.093039323
07-Feb-18,10607.2,10614,10446.4,10476.7,1.604380456
08-Feb-18,10518.5,10637.8,10479.55,10576.85,1.510083925
09-Feb-18,10416.5,10480.2,10398.2,10454.95,0.788598027
12-Feb-18,10518.2,10555.5,10485.4,10539.75,0.668548649
14-Feb-18,10585.75,10590.55,10456.65,10500.9,1.280524833
15-Feb-18,10537.9,10618.1,10511.05,10545.5,1.01845201
16-Feb-18,10596.2,10612.9,10434.05,10452.3,1.714099511
19-Feb-18,10488.9,10489.35,10302.75,10378.4,1.811166921
20-Feb-18,10391,10429.35,10347.65,10360.4,0.789551251
21-Feb-18,10426,10426.1,10349.6,10397.45,0.739159001
22-Feb-18,10354.35,10397.55,10340.65,10382.7,0.550255545
23-Feb-18,10408.1,10499.1,10396.65,10491.05,0.985413571
26-Feb-18,10526.55,10592.95,10520.2,10582.6,0.691526777
27-Feb-18,10615.2,10631.65,10537.25,10554.3,0.895869416
28-Feb-18,10488.95,10535.5,10461.55,10492.85,0.70687422
01-Mar-18,10479.95,10525.5,10447.15,10458.35,0.749965302
05-Mar-18,10428.3,10428.7,10323.9,10358.85,1.015120255
06-Mar-18,10420.5,10441.35,10215.9,10249.25,2.206854022
07-Mar-18,10232.95,10243.35,10141.55,10154.2,1.003791334
08-Mar-18,10216.25,10270.35,10146.4,10242.65,1.221615548
09-Mar-18,10271.3,10296.7,10211.9,10226.85,0.830403745
12-Mar-18,10301.6,10433.65,10295.45,10421.4,1.342340548
13-Mar-18,10389.5,10478.6,10377.85,10426.85,0.970817655
14-Mar-18,10393.05,10420.35,10336.3,10410.9,0.813153643
15-Mar-18,10405.45,10420,10346.2,10360.15,0.713305368
16-Mar-18,10345.15,10346.3,10180.25,10195.15,1.631099433
19-Mar-18,10215.35,10224.55,10075.3,10094.25,1.481345469
20-Mar-18,10051.55,10155.65,10049.1,10124.35,1.060293957
21-Mar-18,10181.95,10227.3,10132.95,10155.25,0.93112075
22-Mar-18,10167.5,10207.85,10105.4,10114.75,1.013814396
23-Mar-18,9968.8,10027.7,9951.9,9998.05,0.761663602
26-Mar-18,9989.15,10143.5,9958.55,10130.65,1.857198086
27-Mar-18,10188,10207.9,10139.65,10184.15,0.673100156
28-Mar-18,10143.6,10158.35,10096.9,10113.7,0.60860264
02-Apr-18,10151.65,10220.1,10127.75,10211.8,0.911851102
03-Apr-18,10186.85,10255.35,10171.05,10245,0.828822983
04-Apr-18,10274.6,10279.85,10111.3,10128.4,1.666946881
05-Apr-18,10228.45,10331.8,10227.45,10325.15,1.020293426
06-Apr-18,10322.75,10350.45,10290.85,10331.6,0.579155269
09-Apr-18,10333.7,10397.7,10328.5,10379.35,0.669990802
10-Apr-18,10412.9,10424.85,10381.5,10402.25,0.417569715
11-Apr-18,10428.15,10428.15,10355.6,10417.15,0.700587122
12-Apr-18,10410.65,10469.9,10395.25,10458.65,0.718116447
13-Apr-18,10495.3,10519.9,10451.45,10480.6,0.654933048
