NAV_Date,NAV_Value
08/02/2019,71.1002
11/02/2019,70.76
12/02/2019,70.3965
13/02/2019,70.151
14/02/2019,69.8494
15/02/2019,69.7082
18/02/2019,69.1646
19/02/2019,68.9266
20/02/2019,69.7791
21/02/2019,70.1468
22/02/2019,70.1579
25/02/2019,70.7312
26/02/2019,70.4396
27/02/2019,70.2535
28/02/2019,70.1874
01/03/2019,70.648
05/03/2019,71.4522
06/03/2019,71.8779
07/03/2019,71.9116
08/03/2019,71.7629
11/03/2019,72.6244
12/03/2019,73.4894
13/03/2019,73.7585
14/03/2019,73.7888
15/03/2019,74.3417
18/03/2019,74.5709
19/03/2019,75.0275
20/03/2019,74.9521
22/03/2019,74.5501
25/03/2019,73.881
26/03/2019,74.7194
27/03/2019,74.4746
28/03/2019,75.2884
29/03/2019,75.6383
01/04/2019,75.9333
02/04/2019,76.2207
03/04/2019,75.7679
04/04/2019,75.4679
05/04/2019,75.9091
08/04/2019,75.5094
09/04/2019,75.9468
10/04/2019,75.3772
11/04/2019,75.4573
12/04/2019,75.7606
15/04/2019,76.0641
16/04/2019,76.6923
18/04/2019,76.4686
22/04/2019,75.4384
23/04/2019,75.3176
24/04/2019,76.2943
25/04/2019,75.7452
26/04/2019,76.4788
30/04/2019,76.4359
02/05/2019,76.2834
03/05/2019,76.2015
06/05/2019,75.4584
07/05/2019,74.8208
08/05/2019,73.9202
09/05/2019,73.5445
10/05/2019,73.3947
13/05/2019,72.5443
14/05/2019,73.0236
15/05/2019,72.6002
16/05/2019,73.2513
17/05/2019,74.2269
20/05/2019,76.9637
21/05/2019,76.1879
22/05/2019,76.4544
23/05/2019,75.9283
24/05/2019,77.1452
27/05/2019,77.6692
28/05/2019,77.6993
29/05/2019,77.2588
30/05/2019,77.8101
31/05/2019,77.6595
03/06/2019,78.7428
04/06/2019,78.3371
06/06/2019,77.1787
07/06/2019,77.3532
10/06/2019,77.6899
11/06/2019,77.9688
12/06/2019,77.5818
13/06/2019,77.7023
14/06/2019,77.1119
17/06/2019,76.1277
18/06/2019,76.2528
19/06/2019,76.2519
20/06/2019,77.2308
21/06/2019,76.5298
24/06/2019,76.3696
25/06/2019,76.9993
26/06/2019,77.3316
27/06/2019,77.2911
28/06/2019,76.9472
01/07/2019,77.4458
02/07/2019,77.7361
03/07/2019,77.7779
04/07/2019,77.9917
05/07/2019,77.1078
08/07/2019,75.4671
09/07/2019,75.4483
10/07/2019,75.0785
11/07/2019,75.6397
12/07/2019,75.4429
15/07/2019,75.6825
16/07/2019,76.1803
17/07/2019,76.3423
18/07/2019,75.7635
19/07/2019,74.6517
22/07/2019,74.1838
23/07/2019,74.0838
24/07/2019,73.7322
25/07/2019,73.6206
26/07/2019,73.8301
29/07/2019,73.2117
30/07/2019,72.5332
31/07/2019,72.748
01/08/2019,71.8659
02/08/2019,72.0145
05/08/2019,71.133
06/08/2019,71.6922
07/08/2019,71.0859
08/08/2019,72.2559
09/08/2019,72.7602
13/08/2019,71.5741
14/08/2019,72.2728
16/08/2019,72.3925
19/08/2019,72.4453
20/08/2019,72.208
21/08/2019,71.5788
22/08/2019,70.4319
23/08/2019,71.0074
26/08/2019,72.5019
27/08/2019,72.8126
28/08/2019,72.4243
29/08/2019,71.7834
30/08/2019,72.2735
03/09/2019,70.7965
04/09/2019,71.1021
05/09/2019,71.1226
06/09/2019,71.7674
09/09/2019,72.1385
11/09/2019,72.3522
12/09/2019,72.0054
13/09/2019,72.6147
16/09/2019,72.1393
17/09/2019,70.9187
18/09/2019,71.0695
19/09/2019,70.1791
20/09/2019,73.9068
23/09/2019,76.0434
24/09/2019,75.9645
25/09/2019,74.9941
26/09/2019,75.852
27/09/2019,75.4657
30/09/2019,75.2162
01/10/2019,74.4658
03/10/2019,74.1639
04/10/2019,73.2506
07/10/2019,72.9323
09/10/2019,74.1565
10/10/2019,73.6398
11/10/2019,74.1015
14/10/2019,74.337
15/10/2019,74.9075
16/10/2019,75.141
17/10/2019,76.0175
18/10/2019,76.5116
22/10/2019,76.029
23/10/2019,76.1909
24/10/2019,76.0494
25/10/2019,76.0575
29/10/2019,77.3878
30/10/2019,77.7651
31/10/2019,77.9859
01/11/2019,78.0718
04/11/2019,78.4038
05/11/2019,78.2457
06/11/2019,78.5656
07/11/2019,78.8678
08/11/2019,78.1846
11/11/2019,78.2182
13/11/2019,77.739
14/11/2019,77.9465
